Deg Num
4 18
5 142685
6 89139
7 59665
8 41906
9 30343
10 22946
11 17484
12 13448
13 11081
14 8892
15 7325
16 6215
17 5166
18 4333
19 3758
20 3268
21 2824
22 2537
23 2083
24 1949
25 1707
26 1565
27 1354
28 1219
29 1113
30 1004
31 840
32 810
33 757
34 711
35 631
36 588
37 546
38 517
39 452
40 455
41 404
42 348
43 341
44 313
45 300
46 295
47 270
48 261
49 217
50 220
51 204
52 208
53 187
54 196
55 162
56 181
57 162
58 143
59 130
60 129
61 132
62 133
63 91
64 86
65 110
66 94
67 120
68 93
69 87
70 64
71 86
72 84
73 82
74 87
75 65
76 64
77 73
78 62
79 60
80 52
81 58
82 49
83 64
84 44
85 62
86 42
87 45
88 43
89 36
90 51
91 48
92 34
93 25
94 31
95 28
96 36
97 29
98 28
99 19
100 28
