Size Info
256 0.184744
256 0.191689
256 0.176628
256 0.189875
256 0.182473
512 0.105144
512 0.115867
512 0.113011
512 0.111905
512 0.114193
1024 0.0723146
1024 0.0675901
1024 0.070844
1024 0.070224
1024 0.0731556
2048 0.0417338
2048 0.039208
2048 0.0446534
2048 0.0450757
2048 0.0465214
4096 0.025072
4096 0.0270124
4096 0.0267742
4096 0.0249837
4096 0.0269909
8192 0.0162093
8192 0.0162415
8192 0.0152564
8192 0.0162206
8192 0.0169175
16384 0.00930661
16384 0.00925598
16384 0.00904515
16384 0.00922276
16384 0.00984023
32768 0.00507125
32768 0.0063034
32768 0.00599694
32768 0.00628345
32768 0.00533713
